Year,GEO,Gender (3a),Economic family characteristics of persons (13),Age (8),Individual MBM poverty status (7),Value
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),17.6
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,30.0
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),17.6
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,105.0
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),14.2
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,45.0
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),13.6
2015,Asphodel-Norwood,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,Total - Age,In poverty,90.0
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),4.5
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,0 to 17 years,In poverty,15.0
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),3.9
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,18 to 24 years,In poverty,15.0
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),11.5
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,25 to 54 years,In poverty,45.0
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),5.8
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,Total - Age,In poverty,215.0
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),12.0
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,0 to 17 years,In poverty,70.0
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),18.7
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,0 to 5 years,In poverty,25.0
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),20.8
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,6 to 17 years,In poverty,45.0
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),17.6
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,18 to 24 years,In poverty,25.0
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),15.2
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,25 to 54 years,In poverty,80.0
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),11.6
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,55 to 64 years,In poverty,30.0
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),10.9
2015,Asphodel-Norwood,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,45.0
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),17.6
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,20.0
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),33.3
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,15.0
2020,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),11.1
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,40.0
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),18.2
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,20.0
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),44.4
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0.0
2015,Asphodel-Norwood,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,185.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),5.2
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,45.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),7.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,30.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),7.1
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,75.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),6.5
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,35.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),5.3
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,20.0
2020,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),2.4
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,290.0
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),8.7
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,65.0
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),11.0
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,60.0
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),15.6
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,120.0
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),10.3
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,75.0
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),11.2
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,20.0
2015,Otonabee-South Monaghan,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),2.9
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,Total - Age,In poverty,135.0
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),4.3
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,0 to 17 years,In poverty,45.0
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),7.0
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,6 to 17 years,In poverty,30.0
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),7.1
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,25 to 54 years,In poverty,45.0
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),4.4
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,55 to 64 years,In poverty,20.0
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),3.6
2020,Otonabee-South Monaghan,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,Total - Age,In poverty,190.0
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),6.4
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,0 to 17 years,In poverty,65.0
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),11.0
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,6 to 17 years,In poverty,60.0
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),15.6
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,25 to 54 years,In poverty,55.0
2015,Otonabee-South Monaghan,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),5.5
